candidate_id,rank,score,reasoning
CAND_0077337,1,0.838168,Staff Machine Learning Engineer at Paytm with 7 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0018499,2,0.78113,Senior Machine Learning Engineer at Zomato with 7.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0046525,3,0.77723,Senior Machine Learning Engineer at Genpact AI with 6.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0081846,4,0.769818,Lead AI Engineer at Razorpay with 6.7 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0064326,5,0.752229,Search Engineer at Sarvam AI with 7.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0061257,6,0.728037,Staff Machine Learning Engineer at LinkedIn with 8 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0007460,7,0.725296,AI Engineer at Salesforce with 4.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0088025,8,0.721252,Staff Machine Learning Engineer at Yellow.ai with 8.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0042506,9,0.72021,Search Engineer at Verloop.io with 4.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0049896,10,0.714874,Search Engineer at Unacademy with 7.3 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0002025,11,0.714004,Senior AI Engineer at Apple with 5.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0052328,12,0.71218,Recommendation Systems Engineer at Amazon with 6.5 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0011162,13,0.710876,Recommendation Systems Engineer at upGrad with 5.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0030468,14,0.708889,Senior Applied Scientist at Swiggy with 5.4 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0069905,15,0.702779,Applied ML Engineer at Sarvam AI with 6.6 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0007596,16,0.702599,Junior ML Engineer at Flipkart with 4.4 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0041610,17,0.69833,Recommendation Systems Engineer at Zoho with 6.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0066376,18,0.695794,Applied ML Engineer at Dream11 with 5.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0096142,19,0.690768,Applied ML Engineer at upGrad with 5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0068811,20,0.680689,Applied ML Engineer at Freshworks with 8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0070398,21,0.680098,Machine Learning Engineer at Genpact AI with 7.2 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0054318,22,0.679411,AI Research Engineer at BYJU'S with 3.5 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0043860,23,0.679004,Junior ML Engineer at Aganitha with 6.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0006567,24,0.678676,Senior AI Engineer at Meta with 7.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0054546,25,0.677596,AI Research Engineer at Razorpay with 4.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0009691,26,0.677359,Applied ML Engineer at LinkedIn with 6.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0073620,27,0.677025,AI Research Engineer at TCS with 4.4 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0041669,28,0.676194,Recommendation Systems Engineer at CRED with 8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0008295,29,0.671615,AI Research Engineer at Razorpay with 6.5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0008425,30,0.664673,Senior NLP Engineer at Ola with 7.8 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0050876,31,0.662323,Applied ML Engineer at Freshworks with 6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0099806,32,0.660952,AI Engineer at Mad Street Den with 4.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0014909,33,0.660874,Computer Vision Engineer at Niramai with 4.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0076163,34,0.660621,NLP Engineer at Ola with 6.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0007009,35,0.657,Recommendation Systems Engineer at Wysa with 7.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: inactive on platform for 69 days.
CAND_0054394,36,0.656959,Recommendation Systems Engineer at PharmEasy with 4.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0095528,37,0.654047,Senior Data Scientist at Netflix with 5.3 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0051936,38,0.653513,AI Research Engineer at Observe.AI with 3.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0065195,39,0.652783,Search Engineer at CRED with 5.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0036184,40,0.652073,Recommendation Systems Engineer at CRED with 6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0084819,41,0.65196,Search Engineer at Dream11 with 4.5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0063585,42,0.651708,AI Research Engineer at Observe.AI with 3.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0072660,43,0.647592,Machine Learning Engineer at Unacademy with 7.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0069638,44,0.646994,Computer Vision Engineer at Swiggy with 6.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0037980,45,0.646054,Senior Applied Scientist at Niramai with 9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0030348,46,0.645061,Machine Learning Engineer at BYJU'S with 4.5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0039754,47,0.644434,Senior Applied Scientist at Meta with 16.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0057701,48,0.641301,Recommendation Systems Engineer at Verloop.io with 4.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0043829,49,0.641118,AI Research Engineer at Observe.AI with 4.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0093912,50,0.640574,Senior Data Scientist at Razorpay with 5.3 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0029367,51,0.640404,Senior Data Scientist at Rephrase.ai with 5.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0015967,52,0.633986,Senior Software Engineer (ML) at Razorpay with 5.4 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0026532,53,0.632753,Recommendation Systems Engineer at Zomato with 4.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0026362,54,0.63137,Data Scientist at PhonePe with 5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0015065,55,0.630937,AI Research Engineer at Flipkart with 3.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0035879,56,0.629079,AI Research Engineer at Krutrim with 4.5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0091890,57,0.628243,AI Research Engineer at Verloop.io with 4.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0071974,58,0.627645,Senior AI Engineer at Netflix with 7.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0071747,59,0.626434,AI Research Engineer at Rephrase.ai with 4.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0016267,60,0.626181,AI Specialist at Freshworks with 3.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0046064,61,0.623873,Senior NLP Engineer at Salesforce with 8.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0086893,62,0.623101,ML Engineer at Unacademy with 3.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0024466,63,0.622676,Search Engineer at PharmEasy with 5.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0075249,64,0.621911,Applied ML Engineer at Zomato with 6.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0050454,65,0.621048,AI Engineer at Rephrase.ai with 6.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0046459,66,0.620741,AI Research Engineer at upGrad with 4.5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0027691,67,0.619278,NLP Engineer at Haptik with 6.5 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0066999,68,0.618286,Recommendation Systems Engineer at Microsoft with 5.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0077285,69,0.618213,Recommendation Systems Engineer at Nykaa with 5.5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0018549,70,0.618187,Recommendation Systems Engineer at Uber with 6.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0025640,71,0.617188,AI Research Engineer at HCL with 5.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0079064,72,0.615902,Senior Data Scientist at Niramai with 5.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0075574,73,0.615046,Machine Learning Engineer at Haptik with 5.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0040887,74,0.613244,Machine Learning Engineer at Netflix with 4.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0053605,75,0.613148,Senior Software Engineer (ML) at Verloop.io with 6.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0074225,76,0.611571,Machine Learning Engineer at Unacademy with 4.3 years experience; career history shows direct work on ranking/search/recommendation systems; concern: ranking evaluation not clearly evidenced in profile.
CAND_0062247,77,0.608867,AI Engineer at Google with 7.3 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0086022,78,0.605847,Senior Applied Scientist at Sarvam AI with 5.3 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0025882,79,0.604683,Senior Software Engineer (ML) at Freshworks with 5.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0062413,80,0.603372,AI Research Engineer at upGrad with 6.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0005260,81,0.603283,Senior NLP Engineer at Netflix with 5.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: not currently marked as open to work.
CAND_0043381,82,0.602871,AI Research Engineer at PharmEasy with 3.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0092706,83,0.601847,AI Research Engineer at Unacademy with 5.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0067866,84,0.599814,Senior Software Engineer (ML) at Tech Mahindra with 6.4 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0076831,85,0.597902,Search Engineer at Krutrim with 4 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0095619,86,0.596716,NLP Engineer at Nykaa with 15.6 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0010770,87,0.595343,Recommendation Systems Engineer at Aganitha with 15.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0099401,88,0.594947,NLP Engineer at Dream11 with 7.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: not currently marked as open to work.
CAND_0006418,89,0.59453,Machine Learning Engineer at Verloop.io with 5.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0083879,90,0.59429,Machine Learning Engineer at Ola with 7.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0044222,91,0.59389,AI Engineer at PolicyBazaar with 7.7 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0006557,92,0.592334,NLP Engineer at Paytm with 7.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: embeddings/retrieval not clearly evidenced in profile.
CAND_0020708,93,0.59194,Search Engineer at PolicyBazaar with 4.2 years experience; career history shows direct work on ranking/search/recommendation systems; concern: inactive on platform for 63 days.
CAND_0093883,94,0.590884,AI Research Engineer at Wysa with 5 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0091909,95,0.59085,Machine Learning Engineer at Rephrase.ai with 6.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: inactive on platform for 70 days.
CAND_0073007,96,0.590785,AI Specialist at Aganitha with 5.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0083307,97,0.588438,Search Engineer at CRED with 7.8 years experience; career history shows direct work on ranking/search/recommendation systems; concern: inactive on platform for 67 days.
CAND_0024620,98,0.586416,AI Engineer at PharmEasy with 5.9 years experience; career history shows direct work on ranking/search/recommendation systems.
CAND_0013536,99,0.586297,Applied ML Engineer at Haptik with 14.1 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
CAND_0065786,100,0.585908,AI Specialist at Swiggy with 4.9 years experience; career history shows direct work on ranking/search/recommendation systems; concern: Python not clearly evidenced in profile.
